Loaded 50 HumanEval problems
  [1/50] PASS HumanEval/0 (stop)
  [2/50] PASS HumanEval/1 (stop)
  [3/50] PASS HumanEval/2 (stop)
  [4/50] PASS HumanEval/3 (stop)
  [5/50] PASS HumanEval/4 (stop)
  [6/50] PASS HumanEval/5 (stop)
  [7/50] PASS HumanEval/6 (stop)
  [8/50] PASS HumanEval/7 (stop)
  [9/50] PASS HumanEval/8 (stop)
  [10/50] PASS HumanEval/9 (stop)
  [11/50] PASS HumanEval/10 (stop)
  [12/50] PASS HumanEval/11 (stop)
  [13/50] PASS HumanEval/12 (stop)
  [14/50] PASS HumanEval/13 (stop)
  [15/50] PASS HumanEval/14 (stop)
  [16/50] PASS HumanEval/15 (stop)
  [17/50] PASS HumanEval/16 (stop)
  [18/50] PASS HumanEval/17 (stop)
  [19/50] PASS HumanEval/18 (stop)
  [20/50] PASS HumanEval/19 (stop)
  [21/50] PASS HumanEval/20 (stop)
  [22/50] PASS HumanEval/21 (stop)
  [23/50] PASS HumanEval/22 (stop)
  [24/50] PASS HumanEval/23 (stop)
  [25/50] PASS HumanEval/24 (stop)
  [26/50] PASS HumanEval/25 (stop)
  [27/50] PASS HumanEval/26 (stop)
  [28/50] PASS HumanEval/27 (stop)
  [29/50] PASS HumanEval/28 (stop)
  [30/50] PASS HumanEval/29 (stop)
  [31/50] PASS HumanEval/30 (stop)
  [32/50] PASS HumanEval/31 (stop)
  [33/50] BUG HumanEval/32 (error)
  [34/50] PASS HumanEval/33 (stop)
  [35/50] PASS HumanEval/34 (stop)
  [36/50] PASS HumanEval/35 (stop)
  [37/50] BUG HumanEval/36 (error)
  [38/50] PASS HumanEval/37 (stop)
  [39/50] BUG HumanEval/38 (stop)
  [40/50] BUG HumanEval/39 (error)
  [41/50] PASS HumanEval/40 (stop)
  [42/50] PASS HumanEval/41 (stop)
  [43/50] PASS HumanEval/42 (stop)
  [44/50] PASS HumanEval/43 (stop)
  [45/50] PASS HumanEval/44 (stop)
  [46/50] PASS HumanEval/45 (stop)
  [47/50] PASS HumanEval/46 (stop)
  [48/50] PASS HumanEval/47 (stop)
  [49/50] PASS HumanEval/48 (stop)
  [50/50] PASS HumanEval/49 (stop)

==================================================
  HumanEval(chat): 46/50 pass@1 (92.0%)
==================================================
Saved to /tmp/qbench/humaneval_vllm_k3.json
